model,split_seed,brier
Logistic Regression,0,0.14461654574330549
SVM (RBF),0,0.14737986301235959
Random Forest,0,0.1445974025974026
KNN,0,0.17235850569183903
Logistic Regression,1,0.16104285376854824
SVM (RBF),1,0.15995739071633178
Random Forest,1,0.15588676581566338
KNN,1,0.1649029982363316
Logistic Regression,2,0.16813186734991645
SVM (RBF),2,0.16842406468544352
Random Forest,2,0.16959109454304486
KNN,2,0.19934577416835222
Logistic Regression,3,0.17077446913401959
SVM (RBF),3,0.1706091612861775
Random Forest,3,0.16723871026536893
KNN,3,0.18831168831168832
Logistic Regression,4,0.18075851877143756
SVM (RBF),4,0.2092527400890859
Random Forest,4,0.1756221710423441
KNN,4,0.19159852493185828
