model,split_seed,feature,importance_mean,importance_std
Logistic Regression,0,Pregnancies,-0.0360720493814178,0.02240794042232542
Logistic Regression,0,Glucose,0.20291122949790083,0.05667295773094997
Logistic Regression,0,BloodPressure,0.0,0.0
Logistic Regression,0,SkinThickness,-0.0025393881381467437,0.007997985917423242
Logistic Regression,0,Insulin,-0.0018952317481158664,0.005929104060218517
Logistic Regression,0,BMI,0.04446306849494331,0.04438832165862954
Logistic Regression,0,DiabetesPedigreeFunction,-0.008614690296535903,0.011690470567852966
Logistic Regression,0,Age,-0.013936236123501951,0.012648431968810953
SVM (RBF),0,Pregnancies,-0.016846062060057405,0.021297816285790545
SVM (RBF),0,Glucose,0.20107303620498,0.0522512942882704
SVM (RBF),0,BloodPressure,-0.012586307298791729,0.018792947017047104
SVM (RBF),0,SkinThickness,-0.006315956981050241,0.016535870841733837
SVM (RBF),0,Insulin,0.007045574882167797,0.019007340417677536
SVM (RBF),0,BMI,0.047234220934890235,0.026933235452958785
SVM (RBF),0,DiabetesPedigreeFunction,0.013229802406236117,0.02158832069881036
SVM (RBF),0,Age,0.0021864980018102666,0.02551465764748392
Random Forest,0,Pregnancies,-0.006323022004733643,0.01680597286851214
Random Forest,0,Glucose,0.18207327136305687,0.04466104740738172
Random Forest,0,BloodPressure,-0.016198925128287727,0.016924162351935522
Random Forest,0,SkinThickness,-0.02999172248257256,0.02463077484291193
Random Forest,0,Insulin,0.005445665366124789,0.031226432883818652
Random Forest,0,BMI,0.04594857863820339,0.02280843152342001
Random Forest,0,DiabetesPedigreeFunction,-0.01762456222816763,0.025845634493711554
Random Forest,0,Age,-0.025017774951185574,0.025150992655717054
KNN,0,Pregnancies,-0.033338090946679624,0.037345948283389524
KNN,0,Glucose,0.16261175152124804,0.05534448983546998
KNN,0,BloodPressure,-0.036400196885666446,0.02470960248552788
KNN,0,SkinThickness,-0.02781929068038798,0.027807595681643482
KNN,0,Insulin,-0.002726631864820865,0.028095178163376356
KNN,0,BMI,-0.021804744479890302,0.027991526271221173
KNN,0,DiabetesPedigreeFunction,-0.021974956029958068,0.01902795613459218
KNN,0,Age,0.01208493812977417,0.03116028962532681
Logistic Regression,1,Pregnancies,-0.016219199085082705,0.01635567201237707
Logistic Regression,1,Glucose,0.2083812652682296,0.05554582529553544
Logistic Regression,1,BloodPressure,0.0006863212236929724,0.011731699445772225
Logistic Regression,1,SkinThickness,0.0,0.0
Logistic Regression,1,Insulin,0.0021450459652706754,0.005468815617234323
Logistic Regression,1,BMI,0.04126806658878424,0.03564485099767632
Logistic Regression,1,DiabetesPedigreeFunction,-0.02344918700037983,0.02888059247305779
Logistic Regression,1,Age,-0.015258946566158164,0.01117623499930097
SVM (RBF),1,Pregnancies,-0.007568115517667296,0.015223915720842961
SVM (RBF),1,Glucose,0.18488735510173226,0.06517291261129252
SVM (RBF),1,BloodPressure,-0.005330148443172899,0.01902345288441394
