model,feature,importance_mean_over_splits,importance_mean_std_across_splits,importance_std_within_pi_mean
KNN,Age,0.042828757590591605,0.03735908228975346,0.03446348138485755
KNN,BMI,0.03579992601570814,0.04051788465729323,0.032845313163465915
KNN,BloodPressure,-0.0012921235254464627,0.030728832739086095,0.02674130540751172
KNN,DiabetesPedigreeFunction,-0.0007600679758560574,0.03315030638621283,0.027341463007329793
KNN,Glucose,0.14686713823413364,0.030624434287598836,0.04628785010246121
KNN,Insulin,0.009363496276496084,0.015436966751170648,0.0215512661017336
KNN,Pregnancies,-0.002868397383080799,0.028962568440472528,0.03155624747114895
KNN,SkinThickness,-0.003882349028180687,0.030348118703456956,0.02763417002743787
Logistic Regression,Age,-0.003297369830112287,0.013092585111232223,0.01166229244759994
Logistic Regression,BMI,0.04513424017039732,0.02947685417071191,0.03706620444375184
Logistic Regression,BloodPressure,-0.0023111258876004456,0.004758513582746582,0.009991508434686078
Logistic Regression,DiabetesPedigreeFunction,-0.003502788935078016,0.014345966937547914,0.02026074780811097
Logistic Regression,Glucose,0.1996803898809608,0.030848360407526133,0.05580499178905115
Logistic Regression,Insulin,-0.0009029609857675647,0.005316452687869121,0.008999479179698447
Logistic Regression,Pregnancies,0.0016179325318879194,0.03228843165411174,0.023993452200074095
Logistic Regression,SkinThickness,-0.00010815685075461264,0.013613838907218186,0.00710663788219386
Random Forest,Age,0.0051896502443791554,0.02675429570340038,0.02466781204132084
Random Forest,BMI,0.0381155609509828,0.011309910832491898,0.03676230123874866
Random Forest,BloodPressure,-0.01757041072585992,0.010742592641187914,0.020014337357871843
Random Forest,DiabetesPedigreeFunction,-0.006406909929156488,0.015112402130713895,0.024982954493639957
Random Forest,Glucose,0.1493895698877096,0.026275758545999357,0.049495236367434026
Random Forest,Insulin,0.005754721126125921,0.010880593767877615,0.02378517946767894
Random Forest,Pregnancies,0.002393837198254109,0.023587846567568186,0.021187826791213397
Random Forest,SkinThickness,-0.010298810742103339,0.015725158349669397,0.01853131519282151
SVM (RBF),Age,0.0033131381772812897,0.013408499841323642,0.022304147954083687
SVM (RBF),BMI,0.03211955614996735,0.02580536545556702,0.033786686547695864
SVM (RBF),BloodPressure,-0.017696468748852657,0.015835656711934754,0.018496526652858804
SVM (RBF),DiabetesPedigreeFunction,-0.0036839197165143543,0.011349778116327053,0.02618696883255379
SVM (RBF),Glucose,0.17550589735244956,0.030251855277937504,0.0547591437481165
SVM (RBF),Insulin,0.0049397188152548906,0.01750978217107205,0.01706620276938028
SVM (RBF),Pregnancies,-0.008039515448689916,0.0058388981027648335,0.024905142454008208
SVM (RBF),SkinThickness,-0.008878205878337384,0.01066644040774828,0.013893388764085376
