model,split_seed,pr_auc
Logistic Regression,0,0.7784874327027569
SVM (RBF),0,0.7683092387599717
Random Forest,0,0.753877988886664
KNN,0,0.6679661955958515
Logistic Regression,1,0.6891131883008883
SVM (RBF),1,0.7150290751279389
Random Forest,1,0.7414820441236407
KNN,1,0.683273331849765
Logistic Regression,2,0.6746660076383
SVM (RBF),2,0.6807784759151352
Random Forest,2,0.6624554661733808
KNN,2,0.5581811682415097
Logistic Regression,3,0.6668661657153766
SVM (RBF),3,0.6879220524282617
Random Forest,3,0.6964672044296464
KNN,3,0.5922089484998652
Logistic Regression,4,0.6512931986452509
SVM (RBF),4,0.5100325451971721
Random Forest,4,0.6511443887130196
KNN,4,0.5709457640912989
