model,accuracy,precision,recall,f1,roc_auc,split_seed
Logistic Regression,0.7662337662337663,0.7368421052631579,0.5185185185185185,0.6086956521739131,0.8701851851851852,0
SVM (RBF),0.7727272727272727,0.7111111111111111,0.5925925925925926,0.6464646464646465,0.8548148148148147,0
Random Forest,0.7792207792207793,0.7380952380952381,0.5740740740740741,0.6458333333333334,0.8583333333333334,0
KNN,0.7402597402597403,0.6590909090909091,0.5370370370370371,0.5918367346938775,0.7935185185185185,0
Majority (baseline),0.6493506493506493,0.0,0.0,0.0,0.5,0
Logistic Regression,0.7597402597402597,0.7428571428571429,0.48148148148148145,0.5842696629213483,0.8292592592592593,1
SVM (RBF),0.7597402597402597,0.7428571428571429,0.48148148148148145,0.5842696629213483,0.8340740740740741,1
Random Forest,0.7402597402597403,0.6666666666666666,0.5185185185185185,0.5833333333333334,0.8396296296296296,1
KNN,0.7792207792207793,0.7083333333333334,0.6296296296296297,0.6666666666666666,0.8090740740740741,1
Majority (baseline),0.6493506493506493,0.0,0.0,0.0,0.5,1
Logistic Regression,0.7402597402597403,0.6842105263157895,0.48148148148148145,0.5652173913043478,0.8140740740740741,2
SVM (RBF),0.7402597402597403,0.71875,0.42592592592592593,0.5348837209302325,0.8142592592592592,2
Random Forest,0.7337662337662337,0.6326530612244898,0.5740740740740741,0.6019417475728155,0.8059259259259258,2
KNN,0.6948051948051948,0.5853658536585366,0.4444444444444444,0.5052631578947369,0.7488888888888889,2
Majority (baseline),0.6493506493506493,0.0,0.0,0.0,0.5,2
Logistic Regression,0.7532467532467533,0.7,0.5185185185185185,0.5957446808510638,0.8233333333333333,3
SVM (RBF),0.7272727272727273,0.6578947368421053,0.46296296296296297,0.5434782608695652,0.8201851851851851,3
Random Forest,0.7467532467532467,0.6666666666666666,0.5555555555555556,0.6060606060606061,0.8085185185185185,3
KNN,0.7207792207792207,0.6037735849056604,0.5925925925925926,0.5981308411214953,0.7737962962962963,3
Majority (baseline),0.6493506493506493,0.0,0.0,0.0,0.5,3
Logistic Regression,0.7207792207792207,0.6037735849056604,0.5925925925925926,0.5981308411214953,0.785,4
SVM (RBF),0.6818181818181818,0.5454545454545454,0.5555555555555556,0.5504587155963303,0.7031481481481482,4
Random Forest,0.7142857142857143,0.5757575757575758,0.7037037037037037,0.6333333333333333,0.8035185185185186,4
KNN,0.7077922077922078,0.5714285714285714,0.6666666666666666,0.6153846153846154,0.7668518518518517,4
Majority (baseline),0.6493506493506493,0.0,0.0,0.0,0.5,4
